,Address,Price,Open House Schedule,Beds,Baths,Sqft,HOA,Year Built,latlong
0,"1776 Camino Leonor SAN JOSE, CA 95131","$799,000 ","OPEN TODAY, 1PM TO 4PM",2,2,1422,$333/month,2006,37.390135 -121.888887
1,"1360 Neleigh Pl SAN JOSE, CA 95131","$880,000 ","OPEN TODAY, 1:30PM TO 4:30PM",2,2,1171,$190/month,2015,37.3712141 -121.8821563
2,"1294 Tea Rose Cir SAN JOSE, CA 95131","$800,000 ","OPEN TODAY, 1:30PM TO 4:30PM",2,2,1157,$238/month,1993,37.3871682 -121.8934242
3,"1271 Westbury Dr SAN JOSE, CA 95131","$998,000 ","OPEN TODAY, 1:30PM TO 4:30PM",3,2.5,1376,$150/month,2009,37.395389 -121.902543
4,"1427 Flickinger Ave SAN JOSE, CA 95131","$998,888 ",,4,2,1168,,1971,37.3859675 -121.8742947
5,"Sign In for Address SAN JOSE, CA 95131","$470,000 ","OPEN TODAY, 1PM TO 4PM",1,1,676,$421/month,1986,37.3777838 -121.9046037
6,"1134 Waterton Ln SAN JOSE, CA 95131","$879,000 ","OPEN TODAY, 1PM TO 4PM",3,2.5,1538,$360/month,1979,37.3764076 -121.8721935
7,"1818 Camino Leonor SAN JOSE, CA 95131","$799,980 ","OPEN TODAY, 1PM TO 4PM",3,2,1546,$333/month,2007,37.3907079 -121.889449
8,"1710 Heavenly Bamboo Ct SAN JOSE, CA 95131","$999,000 ","OPEN TODAY, 1:30PM TO 4:30PM",3,2.5,1478,$200/month,1985,37.3731815 -121.8756844
9,"1856 Sheri Ann Cir SAN JOSE, CA 95131","$951,000 ",,2,2.5,1543,$258/month,1993,37.38884729999999 -121.8953079
10,"2151 Oakland Rd #211 SAN JOSE, CA 95131","$199,950 ",,3,3,1248,,1996,37.3962328 -121.9053495
11,"1011 Giacomo Ln #7 SAN JOSE, CA 95131","$1,293,883 ",,3,3,1847,$272/month,2018,37.37194179999999 -121.8780175
12,"2712 Hostetter Rd SAN JOSE, CA 95132","$988,000 ","OPEN TODAY, 1PM TO 4PM",4,2,1994,,1972,37.398064 -121.8687804
13,"2850 Parkrow Ln SAN JOSE, CA 95132","$778,000 ","OPEN TODAY, 1PM TO 4PM",3,1.5,1240,$340/month,1976,37.4105422 -121.865428
14,"2914 Lambeth Ct SAN JOSE, CA 95132","$788,888 ","OPEN TODAY, 1:30PM TO 4PM",4,2.5,1452,$340/month,1976,37.4098153 -121.8652893
15,"1503 Wharton Ct SAN JOSE, CA 95132","$1,599,000 ","OPEN TODAY, 1PM TO 3PM",5,3,2797,,1997,37.4068812 -121.8481438
16,"2644 Heritage Park Cir SAN JOSE, CA 95132","$1,099,000 ","OPEN TODAY, 1PM TO 4PM",3,2.5,1859,$399/month,1988,37.39392960000001 -121.8623066
17,"3021 Mauna Loa Ct SAN JOSE, CA 95132","$1,188,000 ","OPEN TODAY, 1PM TO 4PM",3,2,1530,,1972,37.398694 -121.857662
18,"1321 Havenwood Dr #1 SAN JOSE, CA 95132","$998,000 ","OPEN TODAY, 1:30PM TO 4:30PM",3,3.5,1714,$199/month,2014,37.392439 -121.8650165
19,"1597 Turriff Way SAN JOSE, CA 95132","$1,525,000 ",,6,3,2828,,1973,37.4016809 -121.8627322
20,"5405 Sierra Rd SAN JOSE, CA 95132","$1,450,000 ",,4,2,2600,,1980,37.4162896 -121.780136
21,"452 Benefit Ct SAN JOSE, CA 95133","$899,000 ","OPEN TODAY, 12PM TO 3PM",4,2,1397,,1978,37.3678749 -121.852058
22,"1750 Creekstone Cir SAN JOSE, CA 95133","$699,000 ","OPEN TODAY, 12PM TO 4PM",4,2.5,1544,$94/month,1983,37.368661 -121.86715
23,"2278 Tomlin Way SAN JOSE, CA 95133","$699,000 ","OPEN TODAY, 1:30PM TO 4:30PM",3,2.5,1431,$330/month,1981,37.3665142 -121.8522311
24,"1612 Salamoni Ct SAN JOSE, CA 95133","$999,888 ","OPEN TODAY, 2PM TO 4PM",3,2.5,1880,$130/month,2005,37.3684156 -121.8733164
25,"899 Salt Lake Dr SAN JOSE, CA 95133","$1,160,000 ","OPEN TODAY, 1PM TO 4PM",4,2.5,1904,,1985,37.3873422 -121.8484107
26,"838 Salt Lake Dr SAN JOSE, CA 95133","$1,388,888 ","OPEN TODAY, 1:30PM TO 4:30PM",4,3,2725,,1985,37.3853642 -121.8469873
27,"2769 Glen Firth Dr SAN JOSE, CA 95133","$998,000 ","OPEN 5/5, 1PM TO 5PM",4,2.5,2084,,1972,37.3817065 -121.8497896
28,"840 Wyman Way #2 SAN JOSE, CA 95133","$480,000 ",,2,1,903,$301/month,1971,37.3786499 -121.8553493
29,"2078 Admiral Pl SAN JOSE, CA 95133","$1,299,000 ",,5,3,2533,,1976,37.3785489 -121.8650225
30,"435 Camille Cir #14 SAN JOSE, CA 95134","$1,198,000 ","OPEN TODAY, 1PM TO 4PM",2,3,1910,$291/month,1991,37.4028586 -121.9221815
31,"4181 Boneso Cir SAN JOSE, CA 95134","$998,000 ",,3,3,1325,$332/month,1993,37.4151779 -121.9580589
32,"440 Galleria Dr #2 SAN JOSE, CA 95134","$1,199,000 ","OPEN TODAY, 11:30AM TO 4PM",3,2.5,1920,$335/month,1990,37.4020107 -121.9239777
33,"1690 Archer St SAN JOSE, CA 95002","$1,290,000 ","OPEN TODAY, 1PM TO 3PM",4,3,2435,,2000,37.4266156 -121.9711725
34,"753 Overture Ct SAN JOSE, CA 95134","$899,000 ","OPEN TODAY, 1PM TO 4PM",2,2,925,$325/month,1992,37.402099 -121.919309
35,"382 Pinefield #382 SAN JOSE, CA 95134","$175,000 ",,3,2,1200,,1973,37.4165489 -121.9593658
